"","LEVEL3_COD","Orchidaceae","Euphorbiaceae","Araceae","Malvaceae","Acanthaceae","Crassulaceae","Urticaceae","Resedaceae","Hamamelidaceae","Apiaceae","Moraceae","Plumbaginaceae","Araliaceae","Cucurbitaceae","Fabaceae","Balsaminaceae","Solanaceae","Brassicaceae","Gesneriaceae","Celastraceae","Ranunculaceae","Boraginaceae","Lauraceae","Polygonaceae","Rosaceae","Anacardiaceae","Loranthaceae","Orobanchaceae","Caryophyllaceae","Salicaceae","Scrophulariaceae","Myrtaceae","Violaceae","Vitaceae","Rubiaceae","Caprifoliaceae","Aristolochiaceae","Amaranthaceae","Santalaceae","Primulaceae","Rutaceae","Lythraceae","Ericaceae","Capparaceae","Papaveraceae","Onagraceae","Rhamnaceae","Thymelaeaceae","Gentianaceae","Lamiaceae","Berberidaceae","Plantaginaceae","Polygalaceae","Saxifragaceae","Aquifoliaceae","Geraniaceae","Actinidiaceae","Styracaceae","Tamaricaceae","Hydrangeaceae","Arecaceae","Sapindaceae","Menispermaceae","Apocynaceae","Linderniaceae","Elaeagnaceae","Linaceae","Zygophyllaceae","Phyllanthaceae","Grossulariaceae","Asteraceae","Fagaceae","Viburnaceae","Betulaceae","Cyperaceae","Commelinaceae","Eriocaulaceae","Dioscoreaceae","Juncaceae","Amaryllidaceae","Asparagaceae","Asphodelaceae","Liliaceae","Smilacaceae","Melanthiaceae","Colchicaceae","Iridaceae","Oleaceae","Campanulaceae","Cupressaceae","Pinaceae","Schisandraceae","Ebenaceae","Poaceae","Convolvulaceae","Hypericaceae","Lentibulariaceae","LEVEL3_NAM","area","fam_sr","kew","gdd","swb","rock","compound"
"1","AFG",18,48,11,32,6,19,9,4,1,208,3,96,2,5,573,6,22,230,NA,8,131,139,NA,71,96,6,1,52,195,24,32,1,10,4,58,49,NA,159,7,44,13,11,4,2,37,15,12,6,32,215,11,69,3,6,NA,21,NA,NA,32,NA,1,8,NA,16,1,3,4,16,3,5,663,3,2,1,105,NA,1,NA,22,71,21,20,51,1,1,4,36,9,17,5,6,NA,1,351,44,2,4,"Afghanistan",901011,4367,1,2.04500218338958,1.80460499293424,1.60573959609956,4.25036584706828
"2","ALB",61,43,9,20,2,33,6,5,NA,152,NA,11,2,3,280,1,9,186,1,4,83,68,1,41,134,4,1,62,187,19,31,1,32,1,53,67,10,38,12,25,6,7,19,1,25,17,10,9,20,143,3,88,8,23,1,33,NA,1,5,NA,NA,9,NA,9,NA,NA,20,1,NA,4,441,12,7,9,89,NA,NA,2,35,37,32,7,16,1,2,7,25,9,56,7,10,NA,NA,229,18,17,5,"Albania",44293,3233,2,1.48707926694226,0.848041244367232,1.38919299628522,3.34335170627106
"3","ALT",29,19,4,7,NA,14,4,NA,NA,69,NA,11,NA,1,185,2,4,137,NA,2,117,64,NA,56,162,NA,NA,52,101,40,11,NA,28,NA,21,24,1,90,3,24,1,4,22,NA,18,15,2,3,30,77,2,48,3,20,NA,16,NA,NA,6,NA,NA,1,1,3,1,2,4,4,NA,8,328,1,3,8,139,1,NA,NA,28,37,6,3,27,NA,4,NA,13,NA,15,3,5,NA,NA,207,14,4,4,"Altay",496019,2423,3,0.922281553404485,1.01523389134595,1.38794764771702,2.84152801990894
"4","AMU",28,5,4,2,NA,11,2,NA,NA,34,NA,NA,3,2,48,1,4,34,NA,6,90,12,NA,46,61,NA,NA,25,44,24,1,NA,26,1,7,14,NA,14,3,13,2,2,33,NA,20,9,3,2,17,46,2,19,2,24,NA,12,NA,NA,NA,1,NA,5,1,6,1,NA,2,NA,1,10,161,1,5,9,96,2,1,1,15,14,12,4,13,NA,8,1,7,2,18,3,7,1,NA,113,6,3,7,"Amur",703700,1295,4,0.749254787915781,0.644230102155452,1.73807526519572,2.67485081035271
"5","ASS",708,57,83,92,156,10,82,2,5,28,75,2,36,52,373,53,17,12,74,50,53,33,107,47,116,28,29,38,19,19,7,31,15,45,201,13,11,20,12,88,55,18,76,16,14,12,25,13,37,164,20,24,22,10,18,5,11,4,1,7,44,36,30,126,28,7,4,1,56,3,224,47,13,5,178,43,18,25,8,9,49,1,8,29,2,5,3,36,32,2,2,5,14,324,52,11,12,"Assam",221477,4943,5,1.03471075522994,0.252322292848369,1.36038448285407,2.33616132945528
"6","AUT",75,29,9,10,NA,22,4,3,NA,90,NA,2,3,2,131,1,7,140,NA,4,125,50,NA,36,276,1,1,75,121,36,16,NA,26,1,43,40,3,38,9,49,1,5,24,NA,17,19,5,6,37,80,2,75,10,37,1,16,NA,NA,1,NA,NA,4,NA,3,1,1,9,1,NA,3,684,6,6,10,150,NA,NA,1,43,19,26,NA,15,NA,3,2,12,4,39,2,8,NA,NA,215,7,8,7,"Austria",144868,3103,6,1.25805829737345,0.880702677140936,1.34215521409847,2.79244299178044
"7","BAL",41,32,7,12,NA,11,8,4,NA,50,NA,56,1,1,136,NA,7,51,NA,NA,32,27,NA,18,19,2,NA,17,60,NA,9,1,5,NA,28,19,3,27,5,10,4,5,5,1,26,3,4,4,12,56,NA,41,3,2,1,13,NA,NA,3,NA,1,1,NA,5,NA,NA,6,2,NA,NA,159,2,2,NA,28,NA,NA,1,18,24,22,3,3,1,NA,3,8,4,5,4,3,NA,NA,129,18,7,NA,"Baleares",7704,1341,7,0.231808916868087,0.441832709030595,1.03341318767473,1.55150796659348
"8","BGM",48,14,7,8,NA,8,3,2,NA,49,NA,3,3,1,57,1,4,57,NA,2,53,20,NA,22,311,NA,NA,24,56,11,10,NA,14,NA,18,17,2,27,3,15,NA,3,14,NA,15,13,2,3,11,51,1,47,6,6,1,14,NA,NA,NA,NA,NA,2,NA,2,NA,1,3,NA,NA,5,275,4,6,5,90,NA,NA,1,25,7,11,NA,4,NA,1,1,1,2,17,1,1,NA,NA,129,5,10,7,"Belgium",60717,1673,8,0.657740363360209,0.449765152553654,1.08385719278031,1.73925752694391
"9","BLR",39,14,5,8,NA,6,3,NA,NA,40,NA,1,2,NA,62,1,5,45,NA,3,57,28,NA,28,66,NA,NA,26,59,9,6,NA,16,NA,19,15,2,22,4,14,NA,5,20,NA,10,9,2,3,7,51,1,40,5,4,NA,14,NA,NA,NA,NA,NA,2,NA,2,1,NA,3,NA,NA,2,230,2,5,9,94,NA,NA,NA,19,9,8,NA,9,NA,4,NA,5,1,18,1,3,NA,NA,108,7,7,5,"Belarus",405462,1330,9,0,0.00149630800170814,0.930835915164689,0.932200312261064
"10","BLT",38,13,7,6,NA,5,2,NA,NA,38,NA,1,1,NA,55,1,4,48,NA,3,65,22,NA,29,87,NA,NA,25,57,18,4,NA,16,NA,17,12,2,23,4,13,NA,3,19,NA,9,9,2,1,8,45,1,38,4,5,NA,15,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,3,447,3,4,8,106,NA,NA,NA,21,7,6,NA,3,NA,2,NA,4,1,15,1,2,NA,NA,98,4,4,5,"Baltic States",399260,1524,10,0.00243091140093328,0.0577850421127141,0.976580022088039,1.03473740679229
